Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),PLENUM-1:Zone Mean Air Temperature [C](TimeStep),PLENUM-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE1-1:Zone Mean Air Temperature [C](TimeStep),SPACE1-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE2-1:Zone Mean Air Temperature [C](TimeStep),SPACE2-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE3-1:Zone Mean Air Temperature [C](TimeStep),SPACE3-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE4-1:Zone Mean Air Temperature [C](TimeStep),SPACE4-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE5-1:Zone Mean Air Temperature [C](TimeStep),SPACE5-1:Zone Mean Air Dewpoint Temperature [C](Hourly),PLENUM-1:Zone Air Temperature [C](Hourly),PLENUM-1:Zone Air System Sensible Heating Rate [W](Hourly),PLENUM-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE1-1:Zone Air Temperature [C](Hourly),SPACE1-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE1-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE2-1:Zone Air Temperature [C](Hourly),SPACE2-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE2-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE3-1:Zone Air Temperature [C](Hourly),SPACE3-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE3-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE4-1:Zone Air Temperature [C](Hourly),SPACE4-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE4-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE5-1:Zone Air Temperature [C](Hourly),SPACE5-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE5-1:Zone Air System Sensible Cooling Rate [W](Hourly),HOT WATER LOOP:Plant Supply Side Cooling Demand Rate [W](Hourly),HOT WATER LOOP:Plant Supply Side Heating Demand Rate [W](Hourly),CHILLED WATER LOOP:Plant Supply Side Cooling Demand Rate [W](Hourly),CHILLED WATER LOOP:Plant Supply Side Heating Demand Rate [W](Hourly),Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),SPACE1-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PMV [](TimeStep),SPACE2-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PMV [](TimeStep),SPACE3-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PMV [](TimeStep),SPACE4-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PMV [](TimeStep),SPACE5-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PMV [](TimeStep),OCCUPY-1:Schedule Value [](TimeStep),HTG-SETP-SCH:Schedule Value [](TimeStep),CLG-SETP-SCH:Schedule Value [](TimeStep),SPACE1-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE2-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE3-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE4-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE5-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),OA HEATING COIL 1:Heating Coil Heating Rate [W](Hourly),MAIN HEATING COIL 1:Heating Coil Heating Rate [W](Hourly),OA COOLING COIL 1:Cooling Coil Total Cooling Rate [W](Hourly),OA COOLING COIL 1:Cooling Coil Sensible Cooling Rate [W](Hourly),MAIN COOLING COIL 1:Cooling Coil Total Cooling Rate [W](Hourly),MAIN COOLING COIL 1:Cooling Coil Sensible Cooling Rate [W](Hourly),CENTRAL BOILER:Boiler Heating Rate [W](Hourly),CENTRAL BOILER:Boiler NaturalGas Rate [W](Hourly),CENTRAL CHILLER:Chiller Electricity Rate [W](Hourly),CENTRAL CHILLER:Chiller Evaporator Cooling Rate [W](Hourly),CENTRAL CHILLER:Chiller Evaporator Inlet Temperature [C](Hourly),CENTRAL CHILLER:Chiller Evaporator Outlet Temperature [C](Hourly),CENTRAL CHILLER:Chiller Evaporator Mass Flow Rate [kg/s](Hourly),CENTRAL CHILLER:Chiller Condenser Heat Transfer Rate [W](Hourly),HW CIRC PUMP:Pump Outlet Temperature [C](Hourly),HW CIRC PUMP:Pump Mass Flow Rate [kg/s](Hourly),CW CIRC PUMP:Pump Outlet Temperature [C](Hourly),CW CIRC PUMP:Pump Mass Flow Rate [kg/s](Hourly),MIXED AIR NODE 1:System Node Temperature [C](Hourly),MIXED AIR NODE 1:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),MIXED AIR NODE 1:System Node Dewpoint Temperature [C](Hourly),VAV SYS 1 OUTLET NODE:System Node Temperature [C](Hourly),VAV SYS 1 OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),VAV SYS 1 OUTLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),VAV SYS 1 OUTLET NODE:System Node Setpoint Temperature [C](Hourly),OA HEATING COIL 1 WATER INLET NODE:System Node Temperature [C](Hourly),OA HEATING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),MAIN HEATING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),MAIN COOLING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA COOLING COIL 1 WATER INLET NODE:System Node Temperature [C](Hourly),OA COOLING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA MIXING BOX 1 INLET NODE:System Node Temperature [C](Hourly),OA MIXING BOX 1 INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA MIXING BOX 1 INLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),OA MIXING BOX 1 INLET NODE:System Node Setpoint Temperature [C](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Temperature [C](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Setpoint Temperature [C](Hourly),Electricity:Facility [J](TimeStep) 
 07/19  00:15:00,,23.775,86.75,25.11813226078564,,22.760497972484412,,22.74409886887668,,22.76086182325899,,22.91873332606799,,22.60656347457116,,,,,,,,,,,,,,,,,,,,,,,,1375.0,-0.30852799399857295,-0.305922789802082,-0.308269832091485,-0.25997619048224047,-0.3699755381652254,0.0,16.7,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237500.0 
 07/19  00:30:00,,23.85,86.5,24.971188678145747,,22.71520856111881,,22.697517662286653,,22.715469204005323,,22.84897925080943,,22.56509648311987,,,,,,,,,,,,,,,,,,,,,,,,1375.0,-0.3205126086877801,-0.318348468470031,-0.32028936381855366,-0.2784843778791214,-0.38079560910877597,0.0,16.7,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237500.0 
 07/19  00:45:00,,23.925,86.25,24.829976833890846,,22.675224171943267,,22.655206645238408,,22.675173482384295,,22.78658840015064,,22.52548631913145,,,,,,,,,,,,,,,,,,,,,,,,1375.0,-0.3312687540787258,-0.3297274108683822,-0.3311227326651831,-0.2951352268002936,-0.3911343417529248,0.0,16.7,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237500.0 
 07/19  01:00:00,23.8875,24.0,86.0,24.694639694009727,21.43009321405909,22.638880924374778,21.43009321405909,22.616194857926395,21.43009321405909,22.638428471352434,21.43009321405909,22.730174113929973,21.43009321405909,22.487785547018515,21.43009321405909,24.90348436670799,0.0,0.0,22.697452907480315,15.840000000000002,0.0,22.678254508582036,6.840000000000001,0.0,22.69748324525026,15.840000000000002,0.0,22.821118772739506,6.840000000000001,0.0,22.54623295596025,29.640000000000004,0.0,0.0,0.0,0.0,0.0,1375.0,-0.34106030577057284,-0.3402191261221535,-0.3410140189128909,-0.31020311605167394,-0.4009802919620651,0.0,16.7,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.22,7.22,0.0,0.0,82.0,0.0,7.22,0.0,25.047552171916415,0.01714907050665592,21.43009321405909,25.047552171916415,0.0,0.01714907050665592,13.0,82.0,0.0,0.0,0.0,7.22,0.0,23.8875,0.0,0.017196118020025512,11.5,23.8875,0.0,0.017196118020025512,4.5,1237500.0 
 07/19  01:15:00,,23.975,86.0,24.566441918159654,,22.603295674584064,,22.57849453146202,,22.602533938725113,,22.6773937316437,,22.453428739211446,,,,,,,,,,,,,,,,,,,,,,,,1375.0,-0.35075319316216036,-0.3504242315165933,-0.35077738013861565,-0.32437451328312245,-0.4091052922940636,0.0,16.7,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237500.0 
 07/19  01:30:00,,23.95,86.0,24.444470231518302,,22.568273478059208,,22.541985020416583,,22.567295023820193,,22.627812453022823,,22.419563885493293,,,,,,,,,,,,,,,,,,,,,,,,1375.0,-0.36014867917684595,-0.3602209079952368,-0.36022818944646817,-0.3376110523839041,-0.417664233646706,0.0,16.7,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237500.0 
 07/19  01:45:00,,23.924999999999997,86.0,24.328256121232144,,22.534618587360267,,22.50718315723326,,22.53345765262122,,22.581676002975172,,22.385767744833796,,,,,,,,,,,,,,,,,,,,,,,,1375.0,-0.36913102005317133,-0.3695365469144247,-0.36925925232122286,-0.34991012520382875,-0.4260612967888374,0.0,16.7,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237500.0 
 07/19  02:00:00,23.9375,23.9,86.0,24.21767277583273,21.420874594847426,22.50269709151464,21.420874594847426,22.474246997783986,21.420874594847426,22.501358994210417,21.420874594847426,22.538909686866443,21.420874594847426,22.352712215144134,21.420874594847426,24.38921026168571,0.0,0.0,22.552221207879548,15.840000000000002,0.0,22.52547742672396,6.840000000000001,0.0,22.55116140234424,15.840000000000002,0.0,22.606447968627037,6.840000000000001,0.0,22.40286814617067,29.640000000000004,0.0,0.0,0.0,0.0,0.0,1375.0,-0.37766370606724997,-0.378366981448499,-0.37783873348671654,-0.36132855070308556,-0.4342316201147381,0.0,16.7,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.22,7.22,0.0,0.0,82.0,0.0,7.22,0.0,24.508451991229958,0.017149070506655924,21.420874594847426,24.508451991229958,0.0,0.017149070506655924,13.0,82.0,0.0,0.0,0.0,7.22,0.0,23.9375,0.0,0.017182431390295287,11.5,23.9375,0.0,0.017182431390295287,4.5,1237500.0 
 07/19  02:15:00,,23.874999999999996,86.25,24.11253583276158,,22.47249175087297,,22.443088957337626,,22.470990894927915,,22.49922408863624,,22.320867209060605,,,,,,,,,,,,,,,,,,,,,,,,1375.0,-0.3857307808325264,-0.3867126204970763,-0.385947769554387,-0.37191976302891816,-0.4420873062658842,0.0,16.7,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237500.0 
 07/19  02:30:00,,23.85,86.5,24.01255043124203,,22.44381681890186,,22.41352464099015,,22.442171301734806,,22.46226108951937,,22.29035881405339,,,,,,,,,,,,,,,,,,,,,,,,1375.0,-0.3933952260317028,-0.3946369072554318,-0.39365046524485486,-0.38179266077533863,-0.44961783756186474,0.0,16.7,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237500.0 
 07/19  02:45:00,,23.825000000000003,86.75,23.917397257086897,,22.416510276119805,,22.385399679411027,,22.414734139370047,,22.42771622195503,,22.261172440459966,,,,,,,,,,,,,,,,,,,,,,,,1375.0,-0.40069385059542856,-0.40217667013192243,-0.40098429461329105,-0.3910235186269221,-0.45682397409777975,0.0,16.7,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237500.0 
